Part,Value,Device,Package,Description,PROD_ID,VALUE
C1,0.1uF,0.1UF-25V-5%(0603),0603-CAP,CAP-08604,CAP-08604,0.1uF
C2,0.1uF,0.1UF-25V-5%(0603),0603-CAP,CAP-08604,CAP-08604,0.1uF
C4,10uf ,,,CAP-08063,CAP-08063,10 uF
F1,PTCSMD,PTCSMD,PTC-1206,Resettable Fuse PTC,RES-11150,
F2,PTCSMD,PTCSMD,PTC-1206,Resettable Fuse PTC,RES-11150,
F3,PTCSMD,PTCSMD,PTC-1206,Resettable Fuse PTC,RES-11150,
FID1,FIDUCIAL1X2,FIDUCIAL1X2,FIDUCIAL-1X2,Fiducial Alignment P,,
FID2,FIDUCIAL1X2,FIDUCIAL1X2,FIDUCIAL-1X2,Fiducial Alignment P,,
FRAME1,FRAME-LEDGER,FRAME-LEDGER,CREATIVE_COMMONS,Schematic Frame,,
JP0,D0,M03LOCK,1X03_LOCK,Header 3,CONN-09701,
JP1,D1,M03LOCK,1X03_LOCK,Header 3,,
JP2,D2,M03LOCK,1X03_LOCK,Header 3,CONN-09701,
JP3,D3,M03LOCK,1X03_LOCK,Header 3,,
JP4,D4,M03LOCK,1X03_LOCK,Header 3,CONN-09701,
JP5,D5,M03LOCK,1X03_LOCK,Header 3,,
JP6,D6,M03LOCK,1X03_LOCK,Header 3,CONN-09701,
JP7,D7,M03LOCK,1X03_LOCK,Header 3,,
JP8,D8,M03LOCK,1X03_LOCK,Header 3,CONN-09701,
JP9,D9,M03LOCK,1X03_LOCK,Header 3,,
JP10,D10,M03LOCK,1X03_LOCK,Header 3,CONN-09701,
JP11,D11,M03LOCK,1X03_LOCK,Header 3,,
JP12,D12,M03LOCK,1X03_LOCK,Header 3,CONN-09701,
JP13,D13,M03LOCK,1X03_LOCK,Header 3,,
JP14,A0,M03LOCK,1X03_LOCK,Header 3,CONN-09701,
JP15,A1,M03LOCK,1X03_LOCK,Header 3,,
JP16,A2,M03LOCK,1X03_LOCK,Header 3,CONN-09701,
JP17,A3,M03LOCK,1X03_LOCK,Header 3,,
JP18,A4,M03LOCK,1X03_LOCK,Header 3,CONN-09701,
JP19,A5,M03LOCK,1X03_LOCK,Header 3,,
JP20,M02PTH,M02PTH,1X02,"Standard 2-pin 0.1 """,,
JP21,,M04PTH,1X04,Header 4,,
JP22,,M04SMD_STRAIGHT_COMBO,1X04_SMD_STRAIGHT_COMBO,Header 4,CONN-08511,1X04_SMD_STRAIGHT_COMBO
JP23,,M04PTH,1X04,Header 4,,
LED1,Yellow,LED0603,LED-0603,LEDs,DIO-09003,
LED2,Yellow,LED0603,LED-0603,LEDs,DIO-09003,
LED3,Blue,LED0603,LED-0603,LEDs,DIO-08575,
LED4,Blue,LED0603,LED-0603,LEDs,DIO-08575,
LED5,Blue,LED0603,LED-0603,LEDs,DIO-08575,
LED7,Red,LED-RED0603,LED-0603,Assorted Red LEDs,DIO-00819,RED
LED8,Green,LED-GREEN0603,LED-0603,Various green LEDs,DIO-00821,GREEN
LED9,Green,LED-GREEN0603,LED-0603,Various green LEDs,DIO-00821,GREEN
LOGO1,OSHW-LOGOM,OSHW-LOGOM,OSHW-LOGO-M,Open Source Hardware,,
LOGO2,SFE_LOGO_NAME_FLAME.1_INCH,SFE_LOGO_NAME_FLAME.1_INCH,SFE_LOGO_NAME_FLAME_.1,SFE Logo,,
LOGO3,SFE_LOGO_FLAME.2COP,SFE_LOGO_FLAME.2COP,SFE_LOGO_FLAME_COPPER_.2,SFE Logo,,
LOGO4,SFE_LOGO_NAME_FLAME.1_INCH,SFE_LOGO_NAME_FLAME.1_INCH,SFE_LOGO_NAME_FLAME_.1,SFE Logo,,
MOD1,XBEE-1XBEE-1_LOCK,XBEE-1XBEE-1_LOCK,XBEE-1_LOCK,Xbee module footprin,CONN-08875,
MOD1,XBEE-1XBEE-1_LOCK,XBEE-1XBEE-1_LOCK,XBEE-1_LOCK,Xbee module footprin,CONN-08875,
Q1,MOSFET-NCHANNELSMD,MOSFET-NCHANNELSMD,SOT23-3,Generic NMOS footpri,TRANS-00830,
Q2,MOSFET-NCHANNELSMD,MOSFET-NCHANNELSMD,SOT23-3,Generic NMOS footpri,TRANS-00830,
R1,1k,1KOHM1/10W1%(0603),0603-RES,RES-07856,RES-07856,1K
R2,1k,1KOHM1/10W1%(0603),0603-RES,RES-07856,RES-07856,1K
R3,1k,1KOHM1/10W1%(0603),0603-RES,RES-07856,RES-07856,1K
R4,1k,1KOHM1/10W1%(0603),0603-RES,RES-07856,RES-07856,1K
R5,330,330OHM1/10W1%(0603),0603-RES,RES-00818,RES-00818,330
R6,1k,1KOHM1/10W1%(0603),0603-RES,RES-07856,RES-07856,1K
R7,1k,1KOHM1/10W1%(0603),0603-RES,RES-07856,RES-07856,1K
R8,1k,1KOHM1/10W1%(0603),0603-RES,RES-07856,RES-07856,1K
R9,1k,1KOHM1/10W1%(0603),0603-RES,RES-07856,RES-07856,1K
R10,1k,1KOHM1/10W1%(0603),0603-RES,RES-07856,RES-07856,1K
R11,1k,1KOHM1/10W1%(0603),0603-RES,RES-07856,RES-07856,1K
R12,1k,1KOHM1/10W1%(0603),0603-RES,RES-07856,RES-07856,1K
R13,1k,1KOHM1/10W1%(0603),0603-RES,RES-07856,RES-07856,1K
S3,DPDT,SWITCH-DPDTAYZ0202,AYZ0202,DPDT Version of the ,SWCH-08179,DPDT
S4,RESET,TAC_SWITCHSMD,TACTILE-SWITCH-SMD,Momentary Switch,SWCH-08247,TAC_SWITCHSMD
SJ1,JUMPER-PAD-3-2OF3_NC_BY_PASTE,JUMPER-PAD-3-2OF3_NC_BY_PASTE,PAD-JUMPER-3-2OF3_NC_BY_PASTE_YES_SILK_FULL_BOX,,,
SJ2,JUMPER-PAD-3-2OF3_NC_BY_PASTE,JUMPER-PAD-3-2OF3_NC_BY_PASTE,PAD-JUMPER-3-2OF3_NC_BY_PASTE_YES_SILK_FULL_BOX,,,
SJ3,,JUMPER-PAD-3-NC_BY_TRACE,PAD-JUMPER-3-3OF3_NC_BY_TRACE_YES_SILK_FULL_BOX,,,
SJ4,,JUMPER-PAD-3-NC_BY_TRACE,PAD-JUMPER-3-3OF3_NC_BY_TRACE_YES_SILK_FULL_BOX,,,
U$1,SFE_LUDUS,SFE_LUDUS,SFE_LUDUS-M,,,
U1,ARDUINO,ARDUINO_R3_SHIELDNOLABELS,UNO_R3_SHIELD_NOLABELS,Shield form compatib,,
U3,TB6612FNG,TB6612FNG,SSOP24,Toshiba 1A dual moto,IC-09363,TB6612FNG
